id,num_orders
1028232,161
1127204,156
1212707,80
1082698,42
1400926,36
1284113,242
1197966,162
1132739,186
1057981,58
1095932,133
1454421,131
1149765,260
1166964,358
1010949,261
1409575,25
1181616,20
1456020,365
1264395,170
1472931,123
1412015,77
1461229,117
1014564,127
1485914,79
1345389,111
1006833,110
1174921,14
1175393,15
1152412,19
1497398,19
1363486,25
1366766,34
1192413,26
1319547,225
1337684,90
1479766,154
1460444,1310
1139730,570
1115056,224
1335827,109
1385333,780
1096323,585
1230693,922
1027016,182
1181520,87
1306234,181
1271440,1243
1269834,487
1176823,924
1193098,90
1034878,77
1010243,119
1451807,180
1016845,119
1198021,116
1413802,75
1231223,116
1274226,708
1425142,425
1211593,213
1419190,43
1180223,51
1194932,112
1323477,179
1371595,166
1171521,168
1052384,152
1060921,122
1261811,163
1246502,361
1497466,426
1232717,43
1136112,42
1196334,577
1349533,277
1463406,246
1447686,198
1336105,121
1012855,536
1180646,434
1062490,207
1098228,1481
1101375,729
1400016,334
1439889,47
1408468,99
1044490,71
1290002,722
1190633,768
1040430,1030
1049366,100
1224120,102
1293810,192
1197335,878
1323989,495
1129467,826
1229328,62
1164395,70
1217722,93
1171266,119
1024905,61
1343027,153
1141892,50
1302404,63
1170447,631
1140772,632
1103484,222
1387134,26
1117711,25
1472121,29
1289523,397
1091114,432
1043572,619
1103283,173
1265051,116
1168741,108
1052776,116
1206564,185
1302153,287
1083754,45
1097952,38
1251605,35
1333032,492
1086936,290
1088412,147
1236400,50
1244516,76
1380381,56
1495062,495
1439647,276
1019214,312
1316160,570
1022008,422
1138248,198
1052922,38
1181474,44
1046475,45
1216688,321
1067565,377
1008328,379
1430287,119
1406716,149
1105380,145
1248694,614
1252163,260
1443474,424
1033716,62
1300295,60
1311882,47
1257968,51
1226362,165
1030655,141
1210527,77
1278927,41
1232239,45
1133067,349
1382522,498
1219136,232
1498130,26
1251629,31
1032092,30
1249865,136
1207630,193
1144733,199
1436768,40
1148964,36
1237346,188
1206015,82
1105113,165
1430481,32
1001589,121
1224132,55
1074380,313
1097109,384
1211246,203
1390579,264
1473058,248
1186964,95
1222837,51
1342393,58
1170472,186
1170791,296
1046653,264
1195179,113
1332509,134
1438300,113
1435748,642
1052668,253
1227060,376
1342252,66
1143109,45
1394807,48
1448374,53
1028680,100
1079691,80
1402079,35
1424446,51
1133297,288
1076214,654
1173823,369
1488584,22
1072892,22
1277491,26
1290868,178
1048888,228
1138141,251
1473125,31
1196726,28
1179278,27
1282305,85
1359903,61
1355143,97
1095889,35
1250665,126
1426610,55
1390104,365
1051519,420
1337584,189
1332667,2444
1075942,1229
1109804,622
1316684,95
1248315,224
1113611,157
1110867,1087
1247289,1409
1022953,1918
1160081,148
1120430,145
1487280,240
1020081,1903
1329551,886
1137610,1689
1072530,167
1115708,219
1203532,103
1494216,241
1116374,305
1032497,168
1413930,216
1136118,114
1254872,210
1398257,1083
1364001,1012
1369843,342
1379360,70
1442044,64
1285290,88
1129707,557
1086750,657
1147262,719
1025605,219
1414158,137
1082079,125
1467510,175
1374892,308
1171352,656
1213246,83
1279131,100
1256386,68
1234220,1234
1008206,564
1267686,369
1470186,129
1233312,227
1279379,144
1431703,388
1339938,286
1010552,338
1237947,800
1175098,500
1066074,143
1045918,67
1226081,37
1148633,400
1441429,405
1291804,598
1305194,86
1327840,104
1320801,202
1467101,572
1473989,293
1466330,497
1390856,45
1120639,73
1279275,48
1166120,65
1128404,41
1252491,44
1328056,481
1452353,304
1353276,161
1297182,23
1469299,26
1129687,183
1362599,268
1245170,354
1098570,53
1452600,45
1194207,41
1023619,103
1254600,161
1157094,234
1165391,31
1131248,46
1383646,202
1288250,143
1476141,98
1401237,37
1383510,63
1433607,42
1098207,187
1453624,110
1089046,167
1306954,1658
1413179,748
1379869,450
1037218,63
1247919,133
1097438,138
1441938,953
1060769,1186
1409283,1194
1397517,116
1220386,96
1297481,219
1309280,1352
1013813,586
1087803,1178
1256077,97
1328392,83
1197947,161
1134877,232
1149222,110
1321757,152
1364052,103
1346914,141
1343936,670
1284997,702
1443980,235
1272226,49
1267791,36
1049345,65
1300007,335
1220471,503
1486124,622
1183373,236
1076787,194
1218918,103
1351627,144
1333350,270
1312936,367
1477543,43
1408514,42
1256773,41
1174904,783
1392815,439
1389126,270
1074816,92
1124612,165
1318251,102
1089252,244
1396463,169
1289632,313
1083889,359
1121896,275
1004866,96
1234436,35
1311318,66
1476647,30
1419834,235
1188670,281
1260238,258
1263791,61
1070835,80
1433069,115
1349084,520
1360259,192
1022475,345
1037167,59
1492031,52
1057541,68
1483675,118
1463966,83
1474096,63
1440771,33
1452763,50
1382621,259
1035365,483
1355984,304
1140520,18
1168148,179
1052343,214
1370827,253
1055728,29
1053449,24
1368579,23
1208370,85
1027455,33
1147326,75
1203029,32
1389643,81
1482071,34
1411487,311
1043533,305
1294351,167
1409427,274
1000264,226
1016463,80
1224218,21
1485114,46
1006410,48
1221242,130
1031339,376
1153545,199
1182144,63
1194788,74
1082828,78
1265773,405
1154515,131
1105986,203
1293017,34
1272587,25
1027143,27
1179146,66
1342337,56
1269746,28
1369030,178
1109605,417
1099603,251
1319113,16
1155697,18
1218892,99
1493357,132
1202597,144
1116108,22
1229780,21
1391127,17
1085957,66
1267409,48
1245159,65
1378973,46
1079844,244
1024089,249
1463712,135
1268331,403
1058344,365
1417277,165
