iter	RMSE
0	1.070524381
1	0.9747004759
2	0.9053326364
3	0.8527819148
4	0.8145112146
5	0.7838653198
6	0.7607277884
7	0.741930624
8	0.726393621
9	0.7105461801
10	0.6981296858
11	0.6883825492
12	0.6797270367
13	0.6728736994
14	0.6669031102
15	0.6615365831
16	0.6566952866
17	0.6521564429
18	0.6475754162
19	0.6432942792
20	0.6399461802
21	0.6369935365
22	0.6339346631
23	0.6307000187
24	0.6283928441
25	0.6240193929
26	0.6220893018
27	0.6189879126
28	0.6157866065
29	0.6137826084
30	0.610413578
31	0.6086750874
32	0.6068191109
33	0.6053556176
34	0.6038817767
35	0.6021282285
36	0.6000723099
37	0.5983030564
38	0.5965224596
39	0.5950737224
40	0.5936343133
41	0.5916054799
42	0.5904539105
43	0.5891870678
44	0.5876323849
45	0.5862033844
46	0.5847597719
47	0.5833069577
48	0.5822260861
49	0.5809823541
50	0.5798088009
51	0.5781950726
52	0.5771136521
53	0.5757207578
54	0.5746842609
55	0.5733177934
56	0.5723280553
57	0.5712369321
58	0.5702950444
59	0.5694734788
60	0.5685280112
61	0.5676029959
62	0.5667184244
63	0.5657950818
64	0.5648839566
65	0.564081282
66	0.5631414419
67	0.5618957806
68	0.5609760917
69	0.5601447149
70	0.5595936956
71	0.5587786942
72	0.5581446074
73	0.5575763625
74	0.5566999313
75	0.5560962662
76	0.5553791478
77	0.5547896029
78	0.5543301221
79	0.5538219645
80	0.5529575317
81	0.5523464074
82	0.5517064399
83	0.5506831824
84	0.5499259059
85	0.5491337755
86	0.5484121163
87	0.5478397893
88	0.5473017854
89	0.546682402
90	0.5462676342
91	0.5457439936
92	0.5450786159
93	0.5445127828
94	0.5441015307
95	0.5435538256
96	0.5428760119
97	0.5422804277
98	0.5416855708
99	0.5411133435
100	0.5404933191
101	0.540005137
102	0.5395941163
103	0.5391637793
104	0.5385738006
105	0.5380274854
106	0.5375953373
107	0.5370959588
108	0.536367136
109	0.5358647368
110	0.5354635407
111	0.5350395563
112	0.534502915
113	0.5340798101
114	0.5337165698
115	0.5332402548
116	0.5328188972
117	0.5323997573
118	0.5319305872
119	0.5315375687
120	0.5311480047
121	0.53074949
122	0.5303688047
123	0.5299891173
124	0.5296265245
125	0.5293222613
126	0.5289720503
127	0.5286035196
128	0.5283324944
129	0.5279886153
130	0.527505851
131	0.5271700145
132	0.5269667131
133	0.526512243
134	0.5262371125
135	0.5258252961
136	0.5254192839
137	0.5250418431
138	0.524815342
139	0.5244671788
140	0.5240436652
141	0.5236863299
142	0.5233847642
143	0.523006673
144	0.5226978608
145	0.5222056792
146	0.5219156762
147	0.5215982009
148	0.521343905
149	0.5210615505
150	0.5208214289
151	0.5202784477
152	0.5198670337
153	0.5196164394
154	0.5193409713
155	0.5189609026
156	0.51872486
157	0.5184993741
158	0.518248201
159	0.5180044215
160	0.5177345822
161	0.5174316148
162	0.5171723957
163	0.5169690313
164	0.5166697549
165	0.5163480599
166	0.5160199881
167	0.5157762337
168	0.515389054
169	0.5150760692
170	0.5149079777
171	0.5146639253
172	0.5144464722
173	0.5142235819
174	0.5140464318
175	0.5137996596
176	0.513591149
177	0.5133703874
178	0.513135754
179	0.5128702139
180	0.5126561098
181	0.5124700492
182	0.512206962
183	0.5118260675
184	0.5116098749
185	0.5113502144
186	0.5111564601
187	0.510963009
188	0.5106812397
189	0.5104609795
190	0.5102254275
191	0.5100465113
192	0.5098456957
193	0.5095986313
194	0.5093536097
195	0.5090590163
196	0.5088213649
197	0.5086224418
198	0.5083999012
199	0.508260977
200	0.5080890312
201	0.5079240179
202	0.5077604676
203	0.5075867719
204	0.5074211948
205	0.5070991796
206	0.5069187169
207	0.5067418202
208	0.5065582111
209	0.5063481759
210	0.5061468227
211	0.5059019475
212	0.5057557393
213	0.5055595447
214	0.5053793577
215	0.5051847317
216	0.5050449866
217	0.5048165683
218	0.5046636032
219	0.5044621501
220	0.5043018882
221	0.5041748809
222	0.5040165224
223	0.5037500393
224	0.5035393213
225	0.5034116329
226	0.5032440871
227	0.5030732966
228	0.5028735245
229	0.5026591412
230	0.5024776161
231	0.5023328171
232	0.5021195661
233	0.5019691669
234	0.5017611754
235	0.5015801142
236	0.5014021019
237	0.5012535144
238	0.5011036236
239	0.5009280041
240	0.5007808777
241	0.5006101868
242	0.5004424297
243	0.5002489188
244	0.5000947706
245	0.4999640419
246	0.4997530972
247	0.4995687179
248	0.4994120468
249	0.4992548553
250	0.499126478
251	0.498978606
252	0.4988407457
253	0.4986962418
254	0.4985785536
255	0.4983788469
256	0.4982487628
257	0.4981103139
258	0.4980058668
259	0.497869606
260	0.4977513356
261	0.4975854088
262	0.4974130409
263	0.4972821234
264	0.4971389736
265	0.4969921674
266	0.496855198
267	0.4967037216
268	0.4965629682
269	0.4964547917
270	0.4963329735
271	0.4962455235
272	0.4961413736
273	0.4959905848
274	0.4958707231
275	0.4957254829
276	0.4956248059
277	0.4955395186
278	0.4954102649
279	0.4952844541
280	0.495103811
281	0.4949869107
282	0.4948420596
283	0.4947030897
284	0.4945709143
285	0.4944406719
286	0.4943335888
287	0.4942071793
288	0.494089569
289	0.4939135775
290	0.4937472058
291	0.4935253258
292	0.4934047785
293	0.493266206
294	0.4931360094
295	0.4930276668
296	0.4929312337
297	0.4927996899
298	0.4926531971
299	0.4925323712
300	0.4924181618
301	0.4923350562
302	0.492202071
303	0.4920689847
304	0.4919762768
305	0.4918718318
306	0.4917760637
307	0.4916891736
308	0.491599157
309	0.4914835122
310	0.4913423734
311	0.4912199405
312	0.4911397679
313	0.4910259534
314	0.4909211973
315	0.4908073539
316	0.4906746304
317	0.4905743339
318	0.4904576624
319	0.4903594808
320	0.4902676712
321	0.490159371
322	0.4900841096
323	0.4900022669
324	0.489928706
325	0.4898116405
326	0.4897337706
327	0.4896425209
328	0.4895043908
329	0.4894123116
330	0.4892873848
331	0.4891877439
332	0.4891087032
333	0.4889991402
334	0.4888952842
335	0.4887795905
336	0.4886852081
337	0.488574565
338	0.488470991
339	0.4883793082
340	0.4883107812
341	0.4882378854
