iter	Passed	Remaining
0	37	37596
1	74	37098
2	109	36341
3	145	36212
4	181	36043
5	217	35979
6	253	35962
7	288	35720
8	323	35617
9	357	35405
10	390	35141
11	422	34761
12	452	34348
13	485	34208
14	515	33860
15	548	33754
16	584	33803
17	614	33525
18	644	33283
19	676	33141
20	706	32959
21	737	32775
22	766	32557
23	795	32368
24	826	32218
25	854	31999
26	884	31858
27	914	31743
28	945	31665
29	976	31570
30	1009	31569
31	1046	31665
32	1081	31680
33	1118	31778
34	1149	31703
35	1183	31704
36	1215	31634
37	1252	31695
38	1284	31642
39	1318	31655
40	1353	31664
41	1389	31688
42	1424	31706
43	1463	31805
44	1500	31834
45	1536	31870
46	1573	31915
47	1610	31933
48	1648	31989
49	1683	31983
50	1721	32035
51	1759	32075
52	1796	32092
53	1833	32128
54	1868	32104
55	1903	32085
56	1938	32068
57	1974	32072
58	2010	32069
59	2047	32082
60	2083	32074
61	2121	32099
62	2157	32091
63	2196	32126
64	2232	32112
65	2264	32051
66	2301	32048
67	2350	32214
68	2382	32145
69	2417	32122
70	2452	32083
71	2493	32134
72	2527	32099
73	2561	32057
74	2593	31987
75	2624	31907
76	2655	31833
77	2684	31733
78	2714	31648
79	2745	31578
80	2779	31532
81	2809	31451
82	2839	31373
83	2871	31309
84	2902	31239
85	2933	31174
86	2964	31109
87	2994	31032
88	3022	30940
89	3049	30832
90	3080	30767
91	3110	30701
92	3138	30613
93	3166	30521
94	3197	30458
95	3227	30389
96	3255	30306
97	3282	30209
98	3314	30163
99	3344	30097
100	3373	30025
101	3404	29970
102	3433	29897
103	3466	29865
104	3505	29878
105	3538	29844
106	3571	29809
107	3601	29742
108	3631	29686
109	3662	29631
110	3695	29598
111	3725	29540
112	3756	29488
113	3785	29420
114	3814	29351
115	3845	29308
116	3877	29264
117	3910	29231
118	3944	29201
119	3975	29155
120	4007	29114
121	4040	29078
122	4073	29045
123	4109	29029
124	4145	29020
125	4179	28989
126	4212	28959
127	4250	28955
128	4288	28957
129	4324	28939
130	4356	28898
131	4389	28867
132	4420	28815
133	4453	28778
134	4491	28776
135	4544	28871
136	4594	28941
137	4640	28987
138	4674	28953
139	4707	28918
140	4738	28867
141	4770	28824
142	4804	28791
143	4838	28764
144	4869	28710
145	4901	28672
146	4938	28659
147	4972	28626
148	5002	28572
149	5032	28515
150	5062	28466
151	5095	28425
152	5122	28358
153	5152	28305
154	5180	28240
155	5209	28182
156	5238	28127
157	5269	28080
158	5297	28018
159	5326	27964
160	5357	27920
161	5386	27862
162	5414	27803
163	5444	27752
164	5477	27717
165	5507	27669
166	5539	27628
167	5569	27580
168	5598	27528
169	5628	27482
170	5655	27417
171	5685	27369
172	5716	27326
173	5748	27286
174	5777	27235
175	5809	27197
176	5838	27146
177	5867	27098
178	5900	27063
179	5929	27010
180	5958	26961
181	5990	26923
182	6020	26877
183	6049	26829
184	6079	26783
185	6108	26732
186	6136	26679
187	6165	26629
188	6199	26600
189	6229	26558
190	6261	26520
191	6291	26477
192	6319	26423
193	6347	26371
194	6376	26322
195	6404	26270
196	6435	26231
197	6472	26217
198	6504	26181
199	6533	26134
200	6563	26091
201	6592	26043
202	6623	26006
203	6651	25953
204	6679	25902
205	6709	25859
206	6740	25820
207	6770	25780
208	6798	25731
209	6828	25688
210	6860	25651
211	6890	25611
212	6919	25566
213	6947	25516
214	6977	25476
215	7008	25438
216	7037	25394
217	7067	25352
218	7095	25302
219	7125	25264
220	7155	25221
221	7187	25189
222	7217	25148
223	7247	25106
224	7277	25066
225	7309	25033
226	7337	24987
227	7368	24950
228	7397	24907
229	7428	24870
230	7460	24834
231	7489	24791
232	7519	24753
233	7552	24722
234	7583	24687
235	7613	24647
236	7645	24613
237	7672	24566
238	7701	24523
239	7732	24486
240	7759	24437
241	7789	24399
242	7821	24365
243	7851	24325
244	7882	24292
245	7914	24258
246	7944	24220
247	7976	24186
248	8008	24155
249	8040	24121
250	8071	24084
251	8099	24041
252	8130	24005
253	8157	23959
254	8186	23916
255	8216	23879
256	8246	23840
257	8280	23815
258	8313	23783
259	8340	23736
260	8370	23699
261	8399	23660
262	8436	23641
263	8470	23614
264	8500	23576
265	8531	23541
266	8564	23511
267	8595	23476
268	8625	23439
269	8658	23409
270	8690	23378
271	8720	23341
272	8751	23306
273	8779	23263
274	8809	23224
275	8841	23192
276	8872	23158
277	8903	23124
278	8933	23086
279	8962	23046
280	8992	23008
281	9026	22982
282	9055	22942
283	9086	22908
284	9115	22868
285	9145	22831
286	9178	22801
287	9210	22771
288	9241	22734
289	9274	22705
290	9305	22671
291	9335	22634
292	9367	22602
293	9397	22567
294	9429	22535
295	9462	22504
296	9496	22477
297	9525	22440
298	9562	22418
299	9597	22393
300	9632	22369
301	9662	22332
302	9691	22293
303	9723	22262
304	9756	22231
305	9784	22191
306	9814	22155
307	9844	22117
308	9874	22082
309	9908	22054
310	9943	22028
311	9973	21992
312	10008	21967
313	10041	21938
314	10076	21911
315	10109	21881
316	10148	21865
317	10179	21831
318	10214	21805
319	10250	21782
320	10285	21755
321	10320	21730
322	10359	21714
323	10396	21691
324	10440	21684
325	10474	21656
326	10508	21626
327	10543	21601
328	10584	21588
329	10622	21567
330	10664	21554
331	10701	21531
332	10738	21509
333	10773	21482
334	10810	21460
335	10849	21441
336	10887	21420
337	10926	21399
338	10963	21377
339	11000	21354
340	11039	21334
341	11075	21309
342	11111	21283
343	11155	21273
344	11192	21249
345	11227	21221
346	11263	21195
347	11299	21170
348	11334	21141
