id,num_orders
1028232,125
1127204,108
1212707,120
1082698,40
1400926,34
1284113,173
1197966,237
1132739,197
1057981,80
1095932,91
1454421,128
1149765,242
1166964,356
1010949,240
1409575,14
1181616,20
1456020,246
1264395,157
1472931,124
1412015,70
1461229,134
1014564,121
1485914,97
1345389,98
1006833,151
1174921,21
1175393,16
1152412,21
1497398,19
1363486,23
1366766,33
1192413,21
1319547,242
1337684,76
1479766,149
1460444,1205
1139730,412
1115056,192
1335827,108
1385333,756
1096323,734
1230693,1013
1027016,118
1181520,72
1306234,168
1271440,1190
1269834,552
1176823,925
1193098,90
1034878,81
1010243,106
1451807,145
1016845,135
1198021,212
1413802,52
1231223,102
1274226,521
1425142,483
1211593,148
1419190,49
1180223,53
1194932,103
1323477,183
1371595,228
1171521,197
1052384,183
1060921,125
1261811,148
1246502,279
1497466,393
1232717,50
1136112,52
1196334,553
1349533,270
1463406,251
1447686,188
1336105,122
1012855,547
1180646,463
1062490,235
1098228,1025
1101375,299
1400016,366
1439889,58
1408468,77
1044490,61
1290002,698
1190633,771
1040430,1038
1049366,92
1224120,136
1293810,190
1197335,793
1323989,528
1129467,981
1229328,60
1164395,64
1217722,72
1171266,140
1024905,128
1343027,179
1141892,46
1302404,54
1170447,716
1140772,495
1103484,209
1387134,24
1117711,20
1472121,27
1289523,331
1091114,355
1043572,458
1103283,166
1265051,149
1168741,149
1052776,144
1206564,184
1302153,375
1083754,40
1097952,35
1251605,36
1333032,463
1086936,179
1088412,172
1236400,44
1244516,82
1380381,64
1495062,581
1439647,337
1019214,333
1316160,630
1022008,663
1138248,272
1052922,38
1181474,35
1046475,38
1216688,294
1067565,497
1008328,380
1430287,108
1406716,146
1105380,117
1248694,612
1252163,279
1443474,468
1033716,72
1300295,61
1311882,52
1257968,69
1226362,154
1030655,143
1210527,86
1278927,41
1232239,49
1133067,372
1382522,450
1219136,283
1498130,23
1251629,35
1032092,28
1249865,153
1207630,179
1144733,136
1436768,57
1148964,45
1237346,208
1206015,44
1105113,207
1430481,30
1001589,107
1224132,68
1074380,398
1097109,388
1211246,200
1390579,290
1473058,284
1186964,85
1222837,48
1342393,36
1170472,204
1170791,288
1046653,277
1195179,82
1332509,97
1438300,144
1435748,561
1052668,247
1227060,420
1342252,74
1143109,43
1394807,64
1448374,56
1028680,99
1079691,100
1402079,36
1424446,57
1133297,312
1076214,631
1173823,355
1488584,18
1072892,26
1277491,28
1290868,150
1048888,215
1138141,233
1473125,37
1196726,32
1179278,29
1282305,78
1359903,47
1355143,133
1095889,36
1250665,162
1426610,67
1390104,520
1051519,475
1337584,235
1332667,3098
1075942,648
1109804,502
1316684,118
1248315,194
1113611,143
1110867,871
1247289,1168
1022953,1961
1160081,115
1120430,118
1487280,238
1020081,1756
1329551,902
1137610,1549
1072530,190
1115708,236
1203532,131
1494216,319
1116374,246
1032497,190
1413930,347
1136118,135
1254872,150
1398257,1007
1364001,873
1369843,348
1379360,68
1442044,65
1285290,76
1129707,490
1086750,548
1147262,609
1025605,211
1414158,172
1082079,151
1467510,175
1374892,255
1171352,616
1213246,55
1279131,111
1256386,74
1234220,1142
1008206,499
1267686,406
1470186,108
1233312,210
1279379,137
1431703,936
1339938,413
1010552,331
1237947,811
1175098,304
1066074,174
1045918,62
1226081,43
1148633,334
1441429,489
1291804,621
1305194,90
1327840,109
1320801,168
1467101,591
1473989,268
1466330,503
1390856,33
1120639,72
1279275,51
1166120,91
1128404,42
1252491,34
1328056,468
1452353,309
1353276,131
1297182,23
1469299,24
1129687,206
1362599,236
1245170,417
1098570,43
1452600,24
1194207,32
1023619,104
1254600,153
1157094,233
1165391,38
1131248,40
1383646,179
1288250,96
1476141,82
1401237,42
1383510,65
1433607,49
1098207,205
1453624,226
1089046,172
1306954,2009
1413179,557
1379869,456
1037218,92
1247919,134
1097438,159
1441938,878
1060769,984
1409283,1216
1397517,79
1220386,98
1297481,222
1309280,1187
1013813,787
1087803,1150
1256077,92
1328392,83
1197947,157
1134877,194
1149222,105
1321757,331
1364052,122
1346914,113
1343936,865
1284997,653
1443980,275
1272226,46
1267791,38
1049345,50
1300007,375
1220471,557
1486124,518
1183373,115
1076787,117
1218918,100
1351627,172
1333350,271
1312936,399
1477543,44
1408514,44
1256773,44
1174904,537
1392815,331
1389126,329
1074816,85
1124612,193
1318251,113
1089252,424
1396463,308
1289632,285
1083889,349
1121896,261
1004866,93
1234436,32
1311318,68
1476647,38
1419834,509
1188670,266
1260238,252
1263791,71
1070835,75
1433069,130
1349084,456
1360259,214
1022475,370
1037167,55
1492031,50
1057541,57
1483675,99
1463966,89
1474096,70
1440771,35
1452763,57
1382621,276
1035365,448
1355984,257
1140520,18
1168148,124
1052343,115
1370827,196
1055728,33
1053449,27
1368579,23
1208370,63
1027455,24
1147326,81
1203029,33
1389643,82
1482071,37
1411487,251
1043533,343
1294351,186
1409427,256
1000264,222
1016463,61
1224218,34
1485114,53
1006410,46
1221242,127
1031339,352
1153545,180
1182144,90
1194788,80
1082828,97
1265773,316
1154515,120
1105986,283
1293017,39
1272587,25
1027143,23
1179146,94
1342337,40
1269746,37
1369030,199
1109605,428
1099603,192
1319113,19
1155697,19
1218892,100
1493357,113
1202597,139
1116108,23
1229780,22
1391127,21
1085957,48
1267409,49
1245159,93
1378973,51
1079844,250
1024089,343
1463712,146
1268331,336
1058344,334
1417277,196
1056035,96
1343254,128
1262833,72
1272751,269
1013213,428
1263405,413
1204818,105
1333742,21
1043262,35
1449237,874
1080908,357
1073524,884
1196482,123
1068138,108
1320427,77
1184166,144
1228572,235
1075131,281
1128915,141
1182843,90
1094044,427
1209858,707
1222963,402
1037477,54
1001694,36
1054299,55
1371044,146
1254718,160
1086268,220
1003757,45
1448276,40
1489645,330
1491279,156
1408337,263
1360068,95
1316400,235
1110618,166
1146271,574
1474849,457
1352055,140
1245977,90
1165288,120
1081099,104
1441467,26
1336838,189
1106150,309
1190084,83
1232610,114
1321845,120
1159511,279
1441739,131
1096623,136
1474925,25
1118719,21
1297074,21
1054861,153
1208736,258
1161439,150
1282737,142
1194305,139
1353044,136
1063225,23
1116078,18
1075416,24
1088172,44
1320248,297
1271591,303
1127237,129
1243020,275
1416839,175
1172788,140
1473056,67
1060753,30
1053540,171
1261815,354
1489999,182
1133739,99
1384693,48
1072117,166
1023989,124
1183974,195
1171351,40
1004475,25
1080300,37
1164653,22
1444590,29
1169717,116
1399692,126
1393811,42
1177147,16
1455218,13
1478944,53
1415824,59
1041241,97
1045506,18
1210059,49
1139397,36
1008295,22
1406978,40
1470180,35
1326956,177
1268964,209
1267165,1149
1414458,306
1105486,306
1246396,32
1223814,57
1208097,47
1426257,343
1402266,614
1273610,921
1082679,115
1061395,149
1448891,249
1121802,736
1017920,361
1220913,583
1201769,62
1214790,51
1055980,47
1143296,34
1161381,45
1049400,71
1388858,99
1367157,45
1056911,35
1363870,590
1206999,344
1220962,130
1244866,23
1161719,22
1492231,183
1492759,213
1408726,275
1337818,109
1136894,98
1050836,71
1157808,158
1438743,228
1092027,332
1286976,30
1244383,39
1220086,22
1014137,249
1460613,133
1269949,106
1022949,33
1118546,73
1006832,242
1461216,221
1333438,230
1014151,417
1196661,158
1072688,103
1161832,28
1146287,53
1329636,41
1113345,286
1079296,420
1245711,292
1312378,103
1280461,240
1132214,275
1013410,467
1315890,402
1453825,338
1137590,18
1046820,17
1100813,25
